"BandNumber","FieldCode","Station","Malaria","IDBirdBandingData","SpeciesName","CP","BP","Fat","BodyMolt","FFMolt","FFWear","RightWing","LeftWing","CycleCode","Age","Sex","Weight","CaptureTime"
245109796,"SMD2013092113","HOME","P",3781,"NORTHERN CARDINAL","N","N","N","M","S","N",92,NA,"DPB","A","M",43,09:45:00
245109796,"SMD2013092113","HOME","P",5139,"NORTHERN CARDINAL","N","N","N","N","N","S",92,NA,"FAS","A","M",40.8,11:21:00
245109800,"SMD2014040444","HOME","P",4575,"NORTHERN CARDINAL","M","N","N","N","N","S",92,NA,"FAS","A","M",41.9,10:45:00
245109800,"SMD2014040444","HOME","P",5068,"NORTHERN CARDINAL","M","N","T","N","N","M",92,NA,"FAS","A","M",41.5,06:43:00
245109800,"SMD2014040444","HOME","P",5854,"NORTHERN CARDINAL","N","N","N","H","S","H",91,NA,"DPB","A","M",42.3,11:08:00
245109800,"SMD2014040444","HOME","P",6969,"NORTHERN CARDINAL","S","N","T","N","A","S",95,NA,"FAS","A","M",42.2,09:00:00
245109800,"SMD2014040444","HOME","P",8175,"NORTHERN CARDINAL","N","N","N","N","N","S",91,NA,"FAS","U","M",43.5,09:37:00
245109800,"SMD2014040444","HOME","P",10482,"NORTHERN CARDINAL","N","N","T","N","N","S",94,NA,"FAS","A","M",42.8,11:22:00
245109800,"SMD2014040444","HOME","P",12424,"NORTHERN CARDINAL","S","N","T","N","N","S",92,NA,"FAS","A","M",34.1,11:39:00
245109841,"SMD2014101709","HOME","P",5739,"NORTHERN CARDINAL","N","N","T","L","N","S",88,NA,"FPS","H","U",39.9,10:03:00
245109841,"SMD2014101709","HOME","P",5853,"NORTHERN CARDINAL","N","N","L","H","S","L",85,NA,"FPF","H","F",40.3,10:20:00
245109841,"SMD2014101709","HOME","P",6041,"NORTHERN CARDINAL","N","N","T","M","S",NA,86,NA,"FPF","H","F",40.6,09:31:00
245109841,"SMD2014101709","HOME","P",6051,"NORTHERN CARDINAL","N","N","T","M","S","S",89,NA,"FCF","H","F",40.9,11:55:00
245109842,"SMD2014120423","HOME","N",5730,"NORTHERN CARDINAL","N","N","T","M","N","S",88,NA,"FPS","H","M",39.8,07:00:00
245109842,"SMD2014120423","HOME","N",6648,"NORTHERN CARDINAL","N","N","N","N","N","S",90,NA,"FAS","A","M",40.2,08:38:00
245109847,"SMD2014080146","HOME","P",5857,"NORTHERN CARDINAL","N","N","L","H","S","L",84,NA,"FPF","H","F",39.7,08:15:00
245109847,"SMD2014080146","HOME","P",6035,"NORTHERN CARDINAL","N","N","N","H","S","L",85,NA,"FPF","H","F",41.7,10:29:00
245109854,"SMD2014101705","HOME","P",6203,"NORTHERN CARDINAL","N","N","N","N","N","L",89,NA,"FAS","A","F",45.2,10:36:00
245109855,"SMD2014101706","HOME","P",6204,"NORTHERN CARDINAL","N","N","T","L","N","S",84,NA,"FPF","H","F",37.9,10:31:00
245109855,"SMD2014101710","HOME","P",6204,"NORTHERN CARDINAL","N","N","T","L","N","S",84,NA,"FPF","H","F",37.9,10:31:00
245109856,"SMD2014101711","HOME","P",6205,"NORTHERN CARDINAL","N","N","T","L","N","S",85,NA,"FPF","H","F",41.2,11:13:00
245109856,"SMD2014101711","HOME","P",10942,"NORTHERN CARDINAL","N","W","H","N","N","S",86,NA,"FAS","A","F",45.2,08:13:00
